級別,單字,中文
1,everyone/everybody,每個人/每個人
1,everything,一切
1,example,例子
1,excellent,出色的
1,except,除了
1,excited,興奮的
1,exciting,令人興奮的
1,exercise,鍛鍊
1,expect,預計
1,expensive,昂貴的
1,experience,經驗
1,explain,解釋
1,eye,眼睛
1,face,臉
1,fact,事實
1,factory,工廠
1,fail,失敗
1,fall,落下
1,family,家庭
1,famous,著名的
1,fan,扇子
1,far,遠的
1,farm,農場
1,farmer,農民
1,fast,快速地
1,fat,胖的
1,father,父親
1,feed,餵食
1,feel,感覺
1,festival,節慶
1,few,很少
1,fight,鬥爭
1,file,文件
1,fill,充滿
1,finally,最後
1,find,尋找
1,fine,美好的
1,finger,手指
1,finish,結束
1,fire,火
1,first,第一的
1,fish,魚
1,floor,地面
1,flower,花
1,fly,飛
1,follow,跟隨
1,food,食物
1,fool,傻子
1,foot,腳
1,for,為了
1,foreign,外國的
1,foreigner,外國人
1,forget,忘記
1,fork,叉
1,free,自由的
1,fresh,新鮮的
1,friend,朋友
1,friendly,友善的
1,frog,青蛙
1,from,從
1,front,正面
1,fruit,水果
1,full,滿的
1,fun,樂趣
1,funny,有趣的
1,future,未來
1,game,遊戲
1,garden,花園
1,gate,門
1,get,得到
1,ghost,鬼
1,giant,巨大的
1,gift,禮物
1,girl,女孩
1,give,給
1,glad,高興的
1,glass,玻璃
1,glasses,眼鏡
1,glove(s),手套）
1,go,去
1,god/goddess,男神/女神
1,good,好的
1,goodbye,再見
1,grade,年級
1,grandfather,祖父
1,grandmother,祖母
1,grass,草
1,gray,灰色的
1,great,偉大的
1,green,綠色的
1,ground,地面
1,group,團體
1,grow,生長
1,guess,猜測
1,guitar,吉他
1,guy,傢伙
1,habit,習慣
1,hair,頭髮
1,half,一半
1,ham,火腿
1,hand,手
1,hang,懸掛
1,happen,發生
1,happy,快樂的
1,hard,難的
1,hat,帽子
1,hate,恨
1,have,有
1,"he (him, his, himself)",他（他，他的，他自己）
1,head,頭
1,headache,頭痛
1,health,健康
1,healthy,健康
1,hear,聽到
1,heart,心
1,heat,熱
1,heavy,重的
1,height,高度
1,hello,你好
1,help,幫助
1,helpful,有幫助的
1,hen,母雞
1,here,這裡
1,hide,隱藏
1,high,高的
1,hill,爬坡道
1,history,歷史
1,hit,打
1,hobby,嗜好
1,hold,抓住
1,holiday,假期
1,home,家
1,homework,家庭作業
1,honest,誠實的
1,honey,蜂蜜
1,hope,希望
1,horse,馬
1,hospital,醫院
1,hot,熱的
1,hotel,飯店
1,hour,小時
1,house,房子
1,housewife,家庭主婦
1,how,如何
1,however,然而
1,hundred,百
1,hungry,飢餓的
1,hurt,傷害
1,husband,丈夫
1,"I (me, my, mine, myself)",我（我，我的，我的，我自己）
1,ice,冰
1,idea,主意
1,if,如果
1,important,重要的
1,in,在
1,inch,英吋
1,insect,昆蟲
1,inside,裡面
1,interest,興趣
1,interested,有興趣的
1,interesting,有趣的
1,interview,面試
1,into,進入
1,invite,邀請
1,island,島
1,"it (its, itself)",它（它的，它本身）
1,item,物品
1,jacket,夾克
1,jeans,牛仔褲
1,job,工作
1,join,加入
1,joke,開玩笑
1,joy,喜悅
1,juice,汁
1,jump,跳
1,just,只是
1,keep,保持
1,key,鑰匙
1,kick,踢
1,kid,孩子
1,kill,殺
1,kind,種類
1,king,國王
1,kiss,吻
1,kitchen,廚房
1,kite,風箏
1,knee,膝蓋
1,knife,刀
1,knock,敲
1,know,知道
1,knowledge n. lake,知識湖
1,lamp,燈
1,land,土地
1,language,語言
1,large,大的
1,last,最後的
1,late,晚的
1,later,之後
1,laugh,笑
1,lawyer,律師
1,lazy,懶惰的
1,lead,帶領
1,leader,領導者
1,learn,學習
1,least,至少
1,leave,離開
1,left,左邊
1,leg,腿
1,lemon,檸檬
1,less,較少的
1,lesson,課
1,let,讓
1,letter,信
1,level,等級
1,library,圖書館
1,lie,說謊
1,life,生活
1,light,光
1,like,喜歡
1,line,線
1,lion,獅子
1,lip,唇
1,list,清單
1,listen,聽
1,little,小的
1,live,居住
1,lonely,孤獨
1,long,長的
1,look,看
1,lose,失去
1,lot,很多
1,loud,大聲
1,love,愛
1,lovely,迷人的
1,low,低的
1,lucky,幸運的
1,lunch,午餐
1,machine,機器
1,mad,瘋狂的
1,magic,魔法
1,mail,郵件
1,main,主要的
1,make,製作
1,man,男人
1,many,許多
1,map,地圖
1,mark,標記
1,market,市場
1,married,已婚
1,mathematics/math,數學/數學
1,matter,事
1,may,可能
1,maybe,或許
1,meal,一頓飯
1,mean,意思是
1,meat,肉
1,media,媒體
1,medicine,藥物
1,medium,中等的
1,meet,見面
1,meeting,會議
1,member,成員
1,menu,選單
1,middle,中間
1,milk,牛奶
1,million,百萬
1,mind,頭腦
1,mine,礦
1,minute,分分鐘
1,miss,錯過
1,mistake,錯誤
1,modern,現代的
1,moment,片刻
1,money,錢
1,monkey,猴
1,month,月
1,moon,月亮
1,more,更多的
1,morning,早晨
1,most,最多
1,mother,母親
1,mountain,山
1,mouse,老鼠
1,mouth,嘴
1,move(ment),移動）
1,movie/film,電影/電影
1,Mr./Mister,先生/先生
1,Mrs.,太太。
1,Ms.,多發性硬化症。
1,much,很多
1,mud,土
1,museum,博物館
1,music,音樂
1,must,必須
1,name,姓名
1,national,國家的
1,nature,自然
1,near,靠近
1,neck,脖子
1,need,需要
1,net,網
1,never,絕不
1,new,新的
1,news,訊息
1,newspaper,報紙
1,next,下一個
1,nice,好的
1,night,夜晚
1,no/nope,不/不
1,nobody,沒有人
1,noise,噪音
1,noisy,吵雜
1,noon,中午
1,north,北
1,nose,鼻子
1,not,不是
1,note,筆記
1,nothing,沒有什麼
1,notice,注意
1,now,現在
1,number,數位
1,nurse,護士
1,O.K./OK/okay,好的/好的/好的
1,o’clock,點鐘
1,of,的
1,off,離開
1,office,辦公室
1,officer,官
1,often,常
1,oil,油
1,old,老的
1,on,在
1,once,一次
1,online,在線的
1,only,僅有的
1,open,打開
1,or,或者
1,orange,橘子
1,order,命令
1,other,其他
1,out,出去
1,outside,外部
1,over,超過
1,own,自己的
1,pack,盒
1,package,包裹
1,page,頁
1,paint,畫
1,pair,一對
1,pants,褲子
1,paper,紙
1,parent(s),父母）
1,park,公園
1,part,部分
1,party,派對
1,pass,經過
1,past,過去的
1,pay(ment),支付）
1,pen,筆
1,pencil,鉛筆
1,people,人們
1,perhaps,也許
1,person,人
1,pet,寵物
1,photograph/photo,照片/照片
1,piano,鋼琴
1,pick,挑選
1,picnic,野餐
1,picture,圖片
1,pie,派
1,piece,片
1,pig,豬
1,pin,別針
1,pink,粉紅色的
1,pipe,管道
1,place,地方
1,plan,計劃
1,planet,行星
1,plant,植物
1,plate,盤子
1,play,玩
1,player,玩家
1,please,請
1,pleasure,樂趣
1,pm/p.m.,下午/下午
1,pocket,口袋
1,point,觀點
1,police,警察
1,polite,有禮貌的
1,pond,池塘
1,pool,水池
1,poor,貧窮的
1,popcorn,爆米花
1,popular,受歡迎的
1,possible,可能的
1,pot,鍋
1,potato,馬鈴薯
1,power,力量
1,practice,實踐
1,prepare,準備
1,present,展示
1,pretty,漂亮的
1,price,價格
1,probably,大概
1,problem,問題
1,program,程式
1,proud,自豪的
1,public,民眾
1,pull,拉
1,push,推
1,put,放
1,quarter,四分之一
1,queen,女王
1,question,問題
1,quick,快的
1,quiet,安靜的
1,quite,相當
1,rabbit,兔子
1,race,種族
1,radio,收音機
1,rain,雨
1,rainbow,彩虹
1,rainy,下雨的
1,raise,增加
1,reach,抵達
1,read,讀
1,ready,準備好
1,real,真實的
1,really,真的
1,reason,原因
1,red,紅色的
1,relative,相對的
1,remember,記住
1,repeat,重複
1,report,報告
1,reporter,記者
1,rest,休息
1,restaurant,餐廳
1,rice,米
1,rich,富有的
1,ride,騎
1,right,正確的
1,ring,戒指
1,rise,上升
1,river,河
1,road,路
1,robot,機器人
1,rock,岩石
1,roll,卷
1,room,房間
1,root,根
1,rope,繩索
1,rose,玫瑰
1,round,圓形的
1,row,排
1,rule,規則
1,ruler,統治者
1,run,跑步
1,sad,傷心
1,safe,安全的
1,salad,沙拉
1,sale,銷售
1,salt,鹽
1,same,相同的
1,save,節省
1,say,說
1,school,學校
1,science,科學
1,sea,海
1,season,季節
1,seat,座位
1,second,第二
1,secretary,秘書
1,see,看
1,seed,種子
1,sell,賣
1,send,傳送
1,sentence,句子
1,serious,嚴肅的
1,service,服務
1,set,放
1,several,一些
1,shake,搖
1,shall,將
1,shape,形狀
1,share,分享
1,sharp,鋒利的
1,"she (her, hers, herself)",她（她的，她的，她自己）
1,sheep,羊
1,ship,船
1,shirt,襯衫
1,shoe(s),鞋）
1,shop,店鋪
1,short,短的
1,shorts,短褲
1,shoulder,肩膀
1,shout,喊
1,show,展示
1,shower,淋浴
1,sick,生病的
1,side,邊
1,sight,視線
1,sign,符號
1,simple,簡單的
1,since,自從
1,sing,唱歌
1,singer,歌手
1,sir,先生
1,sister,姊姊
1,sit,坐
1,size,尺寸
1,skirt,裙子
1,sky,天空
1,sleep,睡覺
1,slim,苗條的
1,slow,慢的
1,small,小的
1,smart,聰明的
1,smell,聞
1,smile,微笑
1,smoke,抽煙
1,snake,蛇
1,snow,雪
1,so,所以
1,sofa,沙發
1,soldier,士兵
1,some,一些
1,someone/somebody,某人/某人
1,something,某物
1,sometimes,有時
1,somewhere,某處
1,son,兒子
1,song,歌曲
1,soon,很快
1,sore,瘡
1,sorry,對不起
1,sound,聲音
1,soup,湯
1,south,南
1,space,空間
1,speak,說話
1,special,特別的
1,spell,拼字
1,spend,花費
1,spring,春天
1,square,方塊
1,stair,樓梯
1,stand,站立
1,star,星星
1,start,開始
1,station,車站
1,stay,停留
1,still,仍然
1,stop,停止
1,store,店鋪
1,story,故事
1,straight,直的
1,strange,奇怪的
1,street,街道
1,string,細繩
1,strong,強的
1,student,學生
1,study,學習
1,stupid,愚蠢的
1,subject,主題
1,successful,成功的
1,sugar,糖
1,sun,太陽
1,sunny,陽光明媚
1,supermarket,超市場
1,sure,當然
1,surprise,驚喜
1,surprised,驚訝
1,sweet,甜的
1,table,桌子
1,tail,尾巴
1,take,拿
1,talk,演講
1,tall,高的
1,tape,磁帶
1,taste,品嚐
1,taxicab/taxi/cab,出租車/出租車/出租車
1,tea,茶
1,teach,教
1,teacher,老師
1,team,團隊
1,teenager,青少年
1,telephone/phone,電話/電話
1,television/TV,電視/電視
1,tell,告訴
1,temple,寺廟
1,tennis,網球
1,terrible,糟糕的
1,test,測試
1,than,比
1,thank,感謝
1,that,那
1,the,這
1,theater,劇院
1,then,然後
1,there,那裡
1,these,這些
1,"they (them, their, theirs, themselves)",他們（他們，他們的，他們的，他們自己）
1,thick,厚的
1,thin,薄的
1,thing,事物
1,think,思考
1,third,第三
1,this,這
1,those,那些
1,though,儘管
1,thousand,千
1,throat,喉
1,through,透過
1,throw,丟
1,ticket,票
1,tidy,整齊的
1,tie,領帶
1,tiger,老虎
1,time,時間
1,tip,提示
1,tired,疲勞的
1,to,到
1,today,今天
1,toe,腳趾
1,together,一起
1,toilet,洗手間
1,tomato,番茄
1,tomorrow,明天
1,tonight,今晚
1,too,也
1,tool,工具
1,tooth,齒
1,top,頂部
1,topic,話題
1,total,全部的
1,touch,觸碰
1,towel,毛巾
1,town,鎮
1,toy,玩具
1,traffic,交通
1,train,火車
1,treat,對待
1,tree,樹
1,trip,旅行
1,trouble,麻煩
1,truck,卡車
1,try,嘗試
1,T-shirt,T恤
1,turn,轉動
1,twice,兩次
1,type,類型
1,uncle,叔叔
1,under,在下面
1,understand,理解
1,uniform,制服
1,until,直到
1,up,向上
1,use,使用
1,useful,有用
1,usually,通常
1,vegetable,蔬菜
1,very,非常
1,video,影片
1,violin,小提琴
1,visit,訪問
1,visitor,遊客
1,voice,嗓音
1,wait,等待
1,wake,喚醒
1,walk,走
1,wall,牆
1,want,想
1,warm,溫暖的
1,watch,手錶
1,water,水
1,wave,海浪
1,way,方式
1,"we (us, our, ours, ourselves)",我們（我們，我們的，我們的，我們自己）
1,weak,虛弱的
1,wear,穿
1,weather,天氣
1,week,星期
1,weekend,週末
1,welcome,歡迎
1,well,出色地
1,west,西方
1,wet,濕的
1,what,什麼
1,when,什麼時候
1,where,在哪裡
1,whether,無論
1,which,哪個
1,while,儘管
1,white,白色的
1,who,世界衛生組織
1,whose,誰
1,why,為什麼
1,wide,寬的
1,wife,妻子
1,will,將要
1,win,贏
1,wind,風
1,window,窗戶
1,wise,明智的
1,wish,希望
1,with,和
1,without,沒有
1,woman,女士
1,wonderful,精彩的
1,word,單字
1,work,工作
1,worker,勞工
1,world,世界
1,worry,擔心
1,write,寫
1,writer,作家
1,wrong,錯誤的
1,yard,庭院
1,year,年
1,yellow,黃色的
1,yes/yeah,是/是
1,yesterday,昨天
1,yet,然而
1,"you (your, yours, yourself, yourselves)",你（你的，你的，你自己，你自己）
1,young,年輕的
1,zero,零
1,zoo,動物園
2,absence,缺席
2,absent,缺席的
2,accept,接受
2,accident,意外事故
2,account,帳戶
2,active,積極的
2,activity,活動
2,actual,實際的
2,addition,添加
2,address,地址
2,admit,承認
2,adult,成人
2,advance,進步
2,advice,建議
2,affair,事務
2,affect,影響
2,against,反對
2,ahead,前面
2,aid,援助
2,aim,目的
2,aircraft,飛機
2,alarm,警報
2,album,專輯
2,alike,一樣
2,alive,活
2,alone,獨自的
2,aloud,大聲地
2,altogether,共
2,among,之中
2,amount,數量
2,ancient,古老的
2,anger,憤怒
2,angle,角度
2,ankle,踝
2,anytime,隨時
2,anyway,反正
2,anywhere/anyplace,任何地方/任何地方
2,ape,猿
2,appearance,外貌
2,appetite,食慾
2,apply,申請
2,appreciate,欣賞
2,approach,方法
2,argue(argument),爭論（爭論）
2,army,軍隊
2,arrange(ment),安排）
2,arrival,到達
2,arrow,箭
2,article,文章
2,artist,藝術家
2,asleep,睡著了
2,attempt,試圖
2,attend,出席
2,attention,注意力
2,author,作者
2,available,可用的
2,average,平均的
2,avoid,避免
2,backpack,背包
2,backward,落後
2,backward/backwards,向後/向後
2,badminton,羽毛球
2,bake,烤
2,bakery,麵包店
2,balance,平衡
2,balcony,陽台
2,balloon,氣球
2,bar,酒吧
2,barbecue,燒烤
2,barber,理髮師
2,bark,吠
2,base,根據
2,basic,基本的
2,basics,基礎知識
2,basis,基礎
2,bathe,洗澡
2,battle,戰鬥
2,beard,鬍鬚
2,beat,打
2,beauty,美麗
2,beer,啤酒
2,beg,求
2,beginner,初學者
2,behave,表現
2,being,存在
2,belief,信仰
2,bend,彎曲
2,better,更好的
2,beyond,超過
2,bill,帳單
2,billion,十億
2,birth,出生
2,biscuit,餅乾
2,bit,位元
2,blackboard,黑板
2,blame,責備
2,blank,空白的
2,blanket,毯子
2,blood,血
2,board,木板
2,boil,熬
2,bone,骨
2,bookstore,書店
2,border,邊界
2,bother,打擾
2,brain,腦
2,branch,分支
2,brand,品牌
2,brief,簡短的
2,brilliant,傑出的
2,broad,廣闊
2,brush,刷子
2,building,大樓
2,bun,包子
2,burden,負擔
2,burn,燒傷
2,burst,爆裂
2,businessman,商人
2,cabbage,高麗菜
2,caf./cafe,咖啡館/咖啡館
2,cage,籠
2,calendar,日曆
2,calm,冷靜的
2,camel,駱駝
2,cancel,取消
2,cancer,癌症
2,candle,蠟燭
2,capital,首都
2,cartoon,卡通片
2,cash,現金
2,castle,城堡
2,cause,原因
2,ceiling,天花板
2,cell,細胞
2,centimeter,公分
2,central,中央
2,century,世紀
2,cereal,穀物
2,chain,鏈
2,chalk,粉筆
2,challenge,挑戰
2,channel,頻道
2,chapter,章
2,character,特點
2,charge,收費
2,chart,圖表
2,chase,追趕
2,cheat,欺騙
2,cheer,歡呼
2,chemical,化學
2,chess,棋
2,chief,首席
2,childhood,童年
2,childish,幼稚
2,china,中國
2,chopstick(s),筷子）
2,claim,宣稱
2,clap,拍
2,classic,經典的
2,classical,古典
2,classmate,同學
2,clever,聰明的
2,click,點選
2,climate,氣候
2,cloth,布
2,clothing,衣服
2,cloudy,多雲
2,coal,煤炭
2,coast,海岸
2,cockroach/roach,蟑螂/蟑螂
2,cocoa,可可
2,coin,硬幣
2,cola/Coke,可樂/可樂
2,college,大學
2,comb,梳子
2,combine,結合
2,comic(s),漫畫
2,command,命令
2,commercial,商業的
2,company,公司
2,compare,比較
2,complete,完全的
2,complex,複雜的
2,concern,憂慮
2,conclude,得出結論
2,condition,狀態
2,confident,自信的
2,conflict,衝突
2,congratulation(s),恭喜
2,connection,聯繫
2,consider,考慮
2,consideration,考慮
2,contact,接觸
2,contain,包含
2,continue,繼續
2,contract,合約
2,control,控制
2,conversation,對話
2,corn,玉米
2,countryside,農村
2,couple,夫妻
2,courage,勇氣
2,court,法庭
2,cowboy,牛仔
2,crayon,蠟筆
2,cream,奶油
2,create,創造
2,crime,犯罪
2,crisis,危機
2,crow,烏鴉
2,crowd,人群
2,cultural,文化
2,culture,文化
2,cure,治癒
2,curious,好奇的
2,current,目前的
2,curtain,窗簾
2,custom,風俗
2,customer,顧客
2,cycle,循環
2,daily,日常的
2,damage,損害
2,dancer,舞者
2,danger,危險
2,data,數據
2,deaf,聾
2,debate,辯論
2,debt,債務
2,decision,決定
2,deer,鹿
2,degree,程度
2,delay,延遲
2,delicious,可口的
2,deliver,遞送
2,delivery,送貨
2,dentist,牙醫
2,deny,否定
2,department,部門
2,depend,依賴
2,depth,深度
2,describe,描述
2,description,描述
2,desert,沙漠
2,design,設計
2,detail,細節
2,develop(ment),發展）
2,dial,撥號
2,dialogue,對話
2,diamond,鑽石
2,diary,日記
2,diet,飲食
2,difference,不同之處
2,difficulty,困難
2,direct,直接的
2,direction,方向
2,director,導演
2,disagree(ment),不同意（意見）
2,disappear,消失
2,discover,發現
2,discovery,發現
2,discuss,討論
2,discussion,討論
2,disease,疾病
2,display,展示
2,distance,距離
2,distant,遙遠
2,divide,劃分
2,division,分配
2,domestic,國內的
2,dot,點
2,double,雙倍的
2,doubt,懷疑
2,dove,鴿子
2,download,下載
2,downstairs,樓下
2,dragon,龍
2,drama,戲劇
2,drawer,抽屜
2,drawing,繪畫
2,drug,藥物
2,dryer,烘乾機
2,due,到期的
2,dull,乏味的
2,duty,責任
2,eagle,鷹
2,earn,賺
2,earring(s),耳環）
2,earthquake,地震
2,ease,舒適
2,eastern,東
2,edge,邊緣
2,edition,版
2,education,教育
2,effect,影響
2,effective,有效的
2,effort,努力
2,elder,長老
2,electric,電的
2,electrical,電力
2,emotion,情緒
2,emphasize,強調
2,employ(ment),就業（就業）
2,employee,員工
2,employer,雇主
2,empty,空的
2,encourage(ment),鼓勵）
2,ending,結束
2,enemy,敵人
2,energy,活力
2,engine,引擎
2,entire,全部的
2,entrance,入口
2,environment,環境
2,environmental,環境的
2,equal,平等的
2,escape,逃脫
2,especially,尤其
2,essay,散文
2,eve,前夕
2,event,事件
2,evil,邪惡的
2,exact,精確的
2,examination/exam,考試/考試
2,examine,檢查
2,excite(ment),激動）
2,excuse,原諒
2,exist,存在
2,existence,存在
2,exit,出口
2,expense,費用
2,expert,專家
2,express,表達
2,expression,表達
2,extra,額外的
2,eyebrow/brow,眉毛/眉毛
2,factor,因素
2,failure,失敗
2,fair,公平的
2,false,錯誤的
2,fashion,時尚
2,fate,命運
2,fault,過失
2,favor,青睞
2,favorite,最喜歡的
2,fear,害怕
2,feature,特徵
2,fee,費用
2,feeling,感覺
2,fellow,同胞
2,female,女性
2,fever,發燒
2,field,場地
2,figure,數位
2,final,最終的
2,fireman/firewoman,消防員/女消防員
2,firm,公司
2,fisherman,漁夫
2,fit,合身
2,fix,使固定
2,flag,旗幟
2,flat,平坦的
2,flight,航班
2,flow,流動
2,flu,流感
2,focus,重點
2,fog,多霧路段
2,folk,民間
2,following,下列的
2,foolish,愚蠢的
2,football,足球
2,force,力量
2,forest,森林
2,forgive,原諒
2,form,形式
2,formal,正式的
2,former,以前的
2,forth,向前
2,forward,向前
2,forward/forwards,轉發/轉發
2,found,成立
2,fox,狐狸
2,freedom,自由
2,friendship,友誼
2,fries,薯條
2,fry,炒
2,function,功能
2,furniture,家具
2,further,更遠
2,gain,獲得
2,garbage,垃圾
2,gardener,園丁
2,garlic,蒜
2,gather,收集
2,general,一般的
2,generous,慷慨的
2,gentle,溫和的
2,gentleman,紳士
2,giraffe,長頸鹿
2,glue,膠水
2,goal,目標
2,goat,山羊
2,gold,金子
2,golden,金的
2,goose,鵝
2,govern,治理
2,government,政府
2,gradual,漸進的
2,grain,糧食
2,gram,克
2,grand,盛大
2,grape,葡萄
2,greet,迎接
2,growth,生長
2,guard,警衛
2,guava,番石榴
2,guest,客人
2,guide,指導
2,gun,槍
2,gymnasium/gym,體育館/體育館
2,haircut,理髮
2,hall,大廳
2,hamburger/burger,漢堡/漢堡
2,handle,處理
2,handsome,英俊的
2,hardly,幾乎不
2,heaven,天堂
2,hero/heroine,英雄/女主角
2,highly,高度
2,highway,公路
2,hike,遠足
2,hip,時髦的
2,hippopotamus/hippo,河馬
2,historical,歷史的
2,hole,洞
2,hop,跳
2,host/hostess,男主人/女主人
2,huge,巨大的
2,human,人類
2,humble,謙遜的
2,hunt,打獵
2,hunter,獵人
2,hurry,匆忙
2,ideal,理想的
2,identity,身分
2,ignore,忽略
2,ill,患病的
2,image,影像
2,imagine,想像
2,importance,重要性
2,impressive,感人的
2,improve(ment),改進）
2,include,包括
2,income,收入
2,increase,增加
2,indeed,的確
2,independence,獨立
2,independent,獨立的
2,indicate,表明
2,individual,個人
2,industry,產業
2,influence,影響
2,ink,墨水
2,insist,堅持
2,instance,實例
2,instant,立即的
2,instead,反而
2,instruction,操作說明
2,instrument,樂器
2,internal,內部的
2,international,國際的
2,Internet/internet,互聯網/互聯網
2,introduce,介紹
2,introduction,介紹
2,iron,鐵
2,jam,果醬
2,jog,慢跑
2,joint,聯合的
2,journal,雜誌
2,judge,法官
2,judgment/judgement,判斷/判斷
2,justice,正義
2,keeper,守門員
2,ketchup,番茄醬
2,kilogram,公斤
2,lack,缺少
2,lady,女士
2,ladybug,瓢蟲
2,lamb,羊肉
2,lane,車道
2,lantern,燈籠
2,lap,圈
2,latest,最新的
2,latter,後者
2,law,法律
2,lay,躺著
2,leadership,領導
2,leaf,葉子
2,legal,合法的
2,lend,借
2,length,長度
2,lens,鏡片
2,liberal,自由主義
2,lid,蓋
2,lift,舉起
2,likely,可能
2,limit,限制
2,link,關聯
2,liquid,液體
2,listener,聽眾
2,liver,肝
2,load,載入
2,local,當地的
2,lone,孤獨的
2,loss,損失
2,lower,降低
2,luck,運氣
2,magazine,雜誌
2,maintain,維持
2,major,主要的
2,male,男性
2,manage(ment),管理）
2,manager,主管
2,mango,芒果
2,manner,方式
2,marriage,婚姻
2,marry,結婚
2,mask,面具
2,mass,大量的
2,master,掌握
2,mat,墊
2,match,匹配
2,material,材料
2,material,材料
2,mature,成熟
2,meaning,意義
2,means,方法
2,measure(ment),測量）
2,medical,醫療的
2,melody,旋律
